key,code,moment,start-duration,end-duration,amount,type,email,link,draft-mode,key:project,key:sponsor
sponsorship-16,V-013,2015/06/12 21:00,2017/11/11 11:00,2018/07/28 06:00,EUR 334.5,IN_KIND,ejemplo.correo987@yahoo.com,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,true,project-01,sponsor-02
sponsorship-17,TU-012,2017/11/11 11:00,2019/05/03 12:00,2020/04/28 05:00,EUR 355.4,FINANCIAL,correo_electronico123@outlook.com,ftp://www.lorem-ipsum.org,false,project-01,sponsor-05
sponsorship-18,QR-010,2018/09/13 22:00,2019/06/06 12:00,2023/08/28 20:00,EUR 984.44,IN_KIND,usuario456@example.org,http://example.org?a,true,project-01,sponsor-02
sponsorship-19,P-009,2000/01/14 22:00,2015/06/12 21:00,2028/09/28 20:00,EUR 9493.32,FINANCIAL,direccion_correo789@hotmail.com,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,false,project-02,sponsor-09
sponsorship-20,KL-007,2015/06/12 21:00,2017/12/13 22:00,2018/12/28 10:00,EUR 449.24,IN_KIND,correo_prueba654@gmail.com,http://example.org?a&b,true,project-01,sponsor-08
sponsorship-21,L-007,2000/01/01 00:00,2000/01/01 00:00,2000/02/01 00:01,USD 0.00,IN_KIND,,http://example.org?a&b,true,project-01,sponsor-08
sponsorship-22,Z-999,2012/06/12 20:00,2014/12/13 22:00,2015/12/28 10:00,GBP 0.00,IN_KIND,correo_prueba654@gmail.com,,false,project-02,sponsor-08
sponsorship-23,T-000,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 0.00,FINANCIAL,null,http://publicar0invoice.com,true,project-01,sponsor-01
sponsorship-24,T-001,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://borrar0invoice.com,true,project-01,sponsor-01
sponsorship-25,T-002,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://publicar1invoice.com,true,project-01,sponsor-01
sponsorship-26,T-003,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://borrar1invoice.com,true,project-01,sponsor-01
sponsorship-27,T-004,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 181.5,FINANCIAL,null,http://publicar3invoice.com,true,project-01,sponsor-01
sponsorship-28,T-005,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://borrar3invoice.com,true,project-01,sponsor-01
sponsorship-29,T-006,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://actualizar.com,true,project-01,sponsor-01
sponsorship-30,T-007,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://publicar0invoicenegativo.com,true,project-01,sponsor-01
sponsorship-31,T-008,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://publicar1invoicenegativo.com,true,project-01,sponsor-01
sponsorship-32,T-009,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://publicar3invoicenegativo.com,true,project-01,sponsor-01
sponsorship-33,T-010,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,USD 0,FINANCIAL,null,http://actualizarnegativo.com,true,project-01,sponsor-01
sponsorship-34,T-011,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,http://testinvoice,true,project-01,sponsor-01
